Neuron class	Class member	Lineage	Neurotransmitter identity	"Reporter transgene expressed in this cell (based on manually curated Wormbase dataset as of July 15th, 2016)"																																																																																																																																												
	AS4	P4.apa	ACh	acc-4	unc-3	unc-55	unc-17	cho-1	unc-8	unc-53	mab-9	madd-4	max-1	tsp-7	hmr-1	ace-2	acr-14	acr-15	nlp-14	unc-63	tig-2	nlp-21	unc-5	coq-8																																																																																																																								
	AS5	P5.apa	ACh	acc-4	unc-3	unc-55	unc-17	cho-1	unc-8	unc-53	mab-9	madd-4	max-1	tsp-7	hmr-1	ace-2	acr-14	acr-15	nlp-14	unc-63	tig-2	nlp-21	unc-5	coq-8																																																																																																																								
	AS6	P6.apa	ACh	acc-4	unc-3	unc-55	unc-17	cho-1	unc-8	unc-53	mab-9	madd-4	max-1	tsp-7	hmr-1	ace-2	acr-14	acr-15	nlp-14	unc-63	tig-2	nlp-21	unc-5	coq-8																																																																																																																								
	AS7	P7.apa	ACh	acc-4	unc-3	unc-55	unc-17	cho-1	unc-8	unc-53	mab-9	madd-4	max-1	tsp-7	hmr-1	ace-2	acr-14	acr-15	nlp-14	unc-63	tig-2	nlp-21	unc-5	coq-8																																																																																																																								
	AS8	P8.apa	ACh	acc-4	unc-3	unc-55	unc-17	cho-1	unc-8	unc-53	mab-9	madd-4	max-1	tsp-7	hmr-1	ace-2	acr-14	acr-15	nlp-14	unc-63	tig-2	nlp-21	unc-5	coq-8																																																																																																																								
	AS9	P9.apa	ACh	acc-4	unc-3	unc-55	unc-17	cho-1	unc-8	unc-53	mab-9	madd-4	max-1	tsp-7	hmr-1	ace-2	acr-14	acr-15	nlp-14	unc-63	tig-2	nlp-21	unc-5																																																																																																																									
	AS10	P10.apa	ACh	acc-4	unc-3	unc-55	unc-17	cho-1	unc-8	unc-53	mab-9	madd-4	max-1	tsp-7	hmr-1	ace-2	acr-14	acr-15	nlp-14	unc-63	tig-2	nlp-21	unc-5																																																																																																																									
	AS11	P11.apa	ACh	acc-4	unc-3	unc-55	unc-17	cho-1	unc-8	unc-53	mab-9	madd-4	max-1	tsp-7	hmr-1	ace-2	acr-14	acr-15	nlp-14	unc-63	tig-2	nlp-21	unc-5																																																																																																																									
ASE	ASEL	AB.alppppppaa	Glu	aha-1	arrd-4	bbs-1	bbs-2	bbs-8	C33A12.4		ceh-36	ceh-38	che-1	che-3	che-6	cng-2	cng-3		csk-1	cup-5	dac-1	daf-25	del-2	del-3	del-4	die-1	dkf-2	dlc-2	dmd-4	dop-3	dop-5	dsc-1	dyf-3	eat-4		egl-2	egl-4	elpc-1	elpc-3	F08B4.4 		F58B4.3 	fkh-8	flp-13	flp-20	flp-21	flp-25	flp-4	flp-5	flp-6		gcy-14	gcy-12	gcy-19	gcy-20	gcy-29	gcy-6	gcy-7		gpa-3	H03A11.2 	hen-1	hlh-10	hlh-14	ins-1	ins-22	ins-26	ins-32	ins-35	jbts-14	K07C11.10		K10D6.2	K10G6.4	kvs-1	lim-6	lsy-2	lsy-27	lsy-6	mgl-3	mir-124	mps-1	ncr-1	ncs-1	ncx-4	nhr-253	nhr-36	nhr-50	nhr-67	nlp-14	nlp-3			nphp-1	nphp-4	npr-1	npr-15		npr-5	nsy-7	ntr-1	osg-1	osm-12	osm-3	osm-6	osm-9	pef-1	pitp-1	pkc-1	plc-1	pnc-1	R102.2	slo-2	srab-14	src-1	srd-33	srg-30	srx-76	syd-9	T27A3.1	tax-2	tax-4	tax-6	tba-9	tbb-4	tmc-1	trpa-2	trx-2	ttx-7	tyra-2	ugt-56	unc-36	unc-37	unc-47	unc-5	Y55D5A.1	zig-1	ZK856.14 	ztf-3	ZC395.10				
	ASER	AB.praaapppaa	Glu	aha-1	arrd-4	bbs-1	bbs-2	bbs-8	C33A12.4	C39D10.5	ceh-36	ceh-38	che-1	che-3	che-6	cng-2	cng-3	cog-1	csk-1	cup-5	dac-1	daf-25	del-2	del-3	del-4		dkf-2	dlc-2	dmd-4	dop-3	dop-5	dsc-1	dyf-3	eat-4	EGAP5.1	egl-2	egl-4	elpc-1	elpc-3	F08B4.4 	F08G12.8	F58B4.3 	fkh-8	flp-13		flp-21	flp-25		flp-5	flp-6	fozi-1	gcy-1	gcy-12	gcy-19	gcy-22	gcy-29	gcy-3	gcy-4	gcy-5	gpa-3	H03A11.2 	hen-1	hlh-10	hlh-14	ins-1	ins-22	ins-26		ins-35	jbts-14	K07C11.10	K07C5.9	K10D6.2	K10G6.4	kvs-1	lsy-2		lsy-27		mgl-3	mir-124	mps-1	ncr-1	ncs-1	ncx-4	nhr-253	nhr-36	nhr-50	nhr-67	nlp-14	nlp-3	nlp-5	nlp-7	nphp-1	nphp-4	npr-1	npr-15	npr-18	npr-5	nsy-7		osg-1	osm-12	osm-3	osm-6	osm-9	pef-1	pitp-1	pkc-1	plc-1	pnc-1	R102.2	slo-2	srab-14	src-1	srd-33	srg-30	srx-76	syd-9		tax-2	tax-4	tax-6	tba-9	tbb-4	tmc-1	trp-2	trpa-2	ttx-7	tyra-2	ugt-56	unc-36	unc-37	unc-47	unc-5	Y55D5A.1	zig-1	ZK856.14 	ztf-3	ZC395.10				
